id|bookId|barcode|status
C1|B1|BCODE-001|READY_FOR_PICKUP
C2|B1|BCODE-002|AVAILABLE
C3|B1|BCODE-003|BORROWED
C4|B2|BCODE-004|AVAILABLE
C5|B2|BCODE-005|READY_FOR_PICKUP
C6|B2|BCODE-006|BORROWED
C7|B3|BCODE-007|AVAILABLE
C8|B3|BCODE-008|AVAILABLE
C9|B4|BCODE-009|AVAILABLE
C10|B4|BCODE-010|READY_FOR_PICKUP
C11|B5|BCODE-011|BORROWED
C12|B5|BCODE-012|AVAILABLE
C13|B6|BCODE-013|AVAILABLE
C14|B6|BCODE-014|AVAILABLE
C15|B7|BCODE-015|AVAILABLE
C16|B7|BCODE-016|READY_FOR_PICKUP
C17|B8|BCODE-017|BORROWED
C18|B8|BCODE-018|AVAILABLE
C19|B9|BCODE-019|AVAILABLE
C20|B9|BCODE-020|AVAILABLE
C21|B10|BCODE-021|AVAILABLE
C22|B10|BCODE-022|BORROWED
C23|B11|BCODE-023|AVAILABLE
C24|B12|BCODE-024|AVAILABLE
C25|B13|BCODE-025|BORROWED
C26|B13|BCODE-026|AVAILABLE
C27|B14|BCODE-027|AVAILABLE
C28|B15|BCODE-028|READY_FOR_PICKUP
C29|B16|BCODE-029|BORROWED
C30|B17|BCODE-030|AVAILABLE
C31|B18|BCODE-031|AVAILABLE
C32|B19|BCODE-032|AVAILABLE
C33|B20|BCODE-033|BORROWED
C34|B21|BCODE-034|AVAILABLE
C35|B22|BCODE-035|AVAILABLE
